"","lyrics"
"335","years cold dark night kill neath light scene agree slayer look like judge say alibi speak word mean life arm best friend wife walk hill long black veil visit grave night wind wail know see know scaffold high eternity near stand crowd shed tear night cold wind moan long black veil cry bone walk hill long black veil visit grave night wind wail know see know know know"
"336","date come kinda late goodnight door kiss kiss want tender kiss finally hear rooster crow tender kiss admit lose sleep stay late kiss goodnight sleep kiss want tender kiss neighbor raise know shame tender kiss neighbor block offer things wed bill yell kiss tender kiss leave door hear tender kiss"
"337","want hear blue stay wanna tell story story blue want listen baby sing want hear blue stay somebody mean world leave leave heart misery know leave blue gonna leave blue thing think leave leave blue hadn give blue wouldn sweet gonna tell say blue right blue right say blue right blue right right right right right night time leave blue thing think leave leave blue hadn give blue wouldn sweet gonna sing blue right blue right say blue right blue right right right right right night say blue right blue right say blue right blue right right right right right night time say blue right blue right say blue right blue right right right right right right right right right right night want hear blue stay blue right"
"338","funny run funny run run memories sweetheart today steal away promise true tell fine know run memories know regret heartache forget tell sweetheart goodbye brush teardrop walk lonely avenue fall fell think fool wishful"
"339","prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days prove thousand ways"
"340","mother world mother home place mother go mother world today hand care till meet promise land shall forget mother say farewell miss world tell mother world"
"341","looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas captain whicher tell woods makin ninetyfo long go like turkey corn long go like turkey corn long go long go long jamas looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go like turkey corn long go like turkey corn long go long go long jamas long jamas go river know couldn cross know grab alligator think horse long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go ahead long go wish luck long go farewell long go ahead long go ahead long go long long jamas"
"342","give golden ring sing play guitar long time change rearrange tie bind remain come say smile go suddenly hear know tread wing open door give golden ring sing"
"343","stand good waste comb hair shave face lean wine tell tear grow mirror stand mirror cause heartache hide tear grow"
"344","world today live folks worst dead casket slip lilies hand flower live enjoy pleae till ready bury slip lilies hand world need flower kind word help flower live throw go flower"
"345","friends love yesterday go home go home go home songbirds sing go home go home go home join heavenly fold walk streets pure gold leave work go home go home go home life lonely go go home go home go home weep stand door sadly say go home go home trumpet sound great judgment go home go home go home friends go go home go home go home"
"346","door leave fall cold wild wind come sweethearts walk miss blue eye everywehere miss arm hold wonder sorry leave begin miss"
"347","stay away long darling dear soul sweetheart part stay away till grow cold share kinds weather rain cold grow stay away long darling stay away till grow cold share kinds weather"
"348","sing friends death cold hand call sing song wonder sing call silent sing sing till helpful assure friends sing song wonder sing"
"349","rugged cross calvary bless savior cry forgive know sinner friend thee die hand gently knock door outside plead come heart break wait free someday come claim heaven golden shore crown life give live forever cruel thorns pierce savior head blood flow face shame forsake hang die sinner friend take place"
"350","forever true lifetime ask leave blue forever night pray dream come true hear prayer care life offer riches heart true gold forever hold night pray dream come true hear prayer care life offer riches heart true gold forever hold"
"351","come little children come moon shinin bright river flow gonna raise ruckus tonight night goin cross acre field raise ruckus tonight black snake heel raise ruckus tonight turn right best raise ruckus tonight fell right hornet nest raise ruckus tonight uncle promise raise ruckus tonight die raise ruckus tonight live long head bald raise ruckus tonight notion dyin raise ruckus tonight goin raise ruckus tonight ridin goat need hound raise ruckus tonight hound bark goat jump raise ruckus tonight stretch stump raise ruckus tonight"
"352","tell newborn finest gift bring come baby poor gift bring play drum mother nod keep time play drum play best smile drum"
"353","lonely live saviours wait patiently plan soon firm foundation thats build gods hand start build road gloryland workin road lead want hold saviours hand build things eternal workin road gloryland listen sinner time come know promise live know suffer sin die cross believe soul lose"
"354","cloud roll away maybe tomorrow go sorrow bring brighter sorrow trouble see double black cloud surround time misfortune discourage remember tomorrow shine forever laughter misery chin tomorrow come"
"355","bell bell everlasting bell hear ring hallelujahs roll bell bell heavenly bell beels ringin soul fell knees hear pray fill spirit wash sin away bell begin toll keep bell ring soul bell bell bell bell beels ringin soul"
"356","free goin thing take wed ring embark final fling losin borrow awful cheap sleep toss turn weep losin like choke lay cause pay losin search heart catch little justify losin think grow weak misread gage write book turn losin like choke lay cause pay losin free goin thing take wed ring embark final fling losin borrow awful cheap sleep toss turn weep losin like choke lay cause pay losin pay losin"
"357","strange strange woman trust start strange strange woman break heart woman feel pity feet crawl knees cross break home strange strange woman strange strange woman trust start strange strange woman break heart things base cheat soon melt away wither strange strange woman trust start strange strange woman break heart strange strange woman surely break heart"
"358","death shall close eyelids heart shall cease beat rest flowery bind retreat miss miss go miss miss go miss miss go miss go plant poor unworthy grave come roses wave miss miss go miss miss go miss miss go miss go sweet think soul shall fleet life fly sweet think cheer die miss go lips shall press kiss brow cold death miss miss go miss miss go miss miss go miss go"
"359","try push heart darling succeed kiss desire stranger inside beg leave inside want deceive darling hold control inside say want inside continue haunt flame desire"
"360","travel different roads worlds apart want heart want change life live change want want like pity change little free live best live apart brand start believin like live wrong change life live long like want live remember learn change life gonna cause change life want"
"361","tell chicago boys break dirty movies credit card bill past spit face tan taste appalachian pride sassy load wife kid dog pull stake home home stead keep fill appalachian pride praise thankful come money dignify appalachian pride hell smoke house molasis can bean crop come kid bedroom finally understand pride appalachian live welfare need check sick collectors abanging door break back dusk till appalachian pride praise thankful come money dignify appalachian pride"
"362","walk wander strange go till return stay dear true walk flame brightly burnin know return stay dear true walk flame brightly burnin know return stay dear true walk"
"363","someday gonna write story life tell night heart forget smile want world know story life moment lips excite time hold close sorrow break memory break heart later make thing leave story wife story life start sorrow break memory break heart later make thing leave story wife story life start start start"
"364","worry bout blue manage explain control warm cold pity cause feel blue ashamed happen kiss time understand worry bout sweet sweet sweet want forget sweet memory worry bout heart tell heart heart goodbye heart free heart sweet sweet baby sweet baby sweet right worry bout"
"365","long long time mean hear whisper sleep night baby admit memories memories feel leave matter hard know think eye memories think love help forget tell haunt deep inside lose memory memories feel leave matter hard know think eye memories"
"366","walk honkey tonkey drop nickle juke hear play tune mind choose drop nickle slot play juke blue theres horn feller banjo fiddle wasn slouch drag fiddle tire hear cause loose steel guitar juke away herd go strong drum give song solid beat goin walk honkey tonkey drop nickle juke hear play tune mind choose drop nickle slot play juke blue play alot juke box tune hear night surround play juke blue rythum hear dance shoe"
"367","ribbon darkness true walk door tear ribbon darkness cloud gather head kill hide shroud night ribbon darkness rain fall meadow go meadow goodbye ribbon darkness world young spring flower bloom bird sing ribbon darkness cold room lie want lord wish die forget wish heart take break come away ribbon darkness come away ribbon darkness"
"368","hand strong wrinkle work get hair lose beauty hours eye disappointment life foundation lean woman woman wife everyday uphill climb reach weak easily discourage smile want stop lips weary tender strengthen life saint dress gingham woman woman wife little baby bear spring die winter lose control mind soul woman carry reach river lord know mansion yonder cause hell earth lord share heaven earn life cause believe deserve woman woman wife woman woman wife"
"369","marry mornin marry write window break heart drive away lose today dress white satin white lace hair look lovely people guess felt inside tear hide stay home know store somethin come marry mornin marry write window break heart drive away lose today stay home know store somethin come marry mornin marry write window break heart drive away lose today"
"370","tear eye home till cheek fall bird mate time lovebirds come pair care thing know shelter winter wind single solitary lovebirds come pair care thing know shelter winter wind single solitary"
"371","leave days memory souvenirs letter tie blue photograph souvenirs tokens rest treasure chest best consolation count apart teardrops start break heart souvenirs count apart teardrops start break heart souvenirs"
"372","give blanket cold give song learn sing show beauty windows soul show world see give give away spend precious time know borrow give courage live yesterday give tomorrow bring candle light erase shadow see bring pillow rest weary head teach gentle dream leave richer richer love gift give give blanket cold give baby"
"373","walk church house wait night hand tremble bible hold firmly right beggin drinkin drinkin add pain sweetheart meet sweetheart tear addin pain sweetheart meet heart break hand sweetheart meet arm say friend kiss hold love take place heart break hand sweetheart meet sweetheart drinkin add pain sweetheart meet heart break tear pain sweetheart meet"
"374","song pretty good song thing wrong pretty good song cause pretty good song go long long long long long long long long long get face cause swallerin place finish sack cracker jack second flat conversation run fair kiss darling sweetheart hold half hour half dead come darn song pretty good song thing wrong pretty good song cause pretty good song go long long long long long long long long long long like doggone marathon race cause swallerin place tune pretty good tune build like rubber balloon pretty good tune croon croon croon croon croon croon croon croon croon cause swallerin place finish sack cracker jack second flat conversation run fair kiss love sweetheart hold half hour half dead come darn song pretty good song thing wrong pretty good song cause pretty good song go long long long long long long long long long long like doggone marathon race cause swallerin place"
"375","childhood home memory stand neath tree heart thrill simply wander cabin want wander cabin neath tree like linger heart simply wander cabin saddest return childhood home matter yearn heart thrill simply wander cabin"
"376","dark trouble life bright meet darkness strife view life help brighten life fury break today crush hop cherish dear cloud time pass away shine bright clear life help brighten life greet song moment cloudy fair trust savior care life help brighten life"
"377","better watch better better pout tell santa come make list check twice gonna naughty nice santa come see sleep know awake know good good goodness sake better watch better better pout tell santa come santa come"
"378","cause kind true wouldn prove sweet tenderness softness caress bring happiness long life complete forever heart feet sweet tenderness softness caress bring happiness long life complete forever heart feet sweet tenderness softness caress bring happiness"
"379","good break heart feel say teardrops start good break heart good make believe lose heart love heart sweetheart good break heart memories like make tear soul apart good break heart"
"380","know tire want longer feel happen ries dream things mention think tomorrow happen live hour tell mention mention feel life reach early sign autumn heart leave fall cold warm go leave hunger soul mention"
"381","release anymore waste live release want near lips warm cold release darling release anymore waste life release release fool cling live life bring pain release"
"382","pip pip call mountain summer go leave fall bide come summer meadow valley hush white snow come flow die dead dead come place lie kneel shall hear soft tread grave warmer sweeter tell shall sleep peace come"
"383","seraphim sing sleep count days count days babylon march time write book startstop mismatch dream hello wine want wine go home tonight want start lose optional win stand staircase battle grow strong weak days kill wall watch time leave window sorry white wall talk paint paint white wall talk paint paint luddite creation encumber megabytes processors complete reversion dependence upload connection interconnection souls"
"384","blue world feel brew heart crazy dream know real crazy arm reach hold somebody yearn heart keep say trouble mind know soon lonely time treasure dream think someday crazy arm hold somebody lonely time crazy arm reach"
"385","devil go lookin soul steal bind cause will deal come young sawin fiddle playin devil jump hickory stump say tell guess know fiddle player care dare play pretty good fiddle devil fiddle gold soul cause think better say gonna regret cause best rosin play fiddle hard cause hell break loose devil deal card shiny fiddle gold lose devil get soul devil open say start fly fingertips rosin pull string evil hiss band demons join sound like devil finish say pretty good chair right mountain boys devil house rise chicken bread pick dough granny bite child devil bow head know beat lay golden fiddle grind feet say devil come wanna tell onceyou bitchi best play mountain boys devil house rise chicken bread pick dough granny bite child"
"386","little cabaret south texas border guitar people come girls slip away home put jewelery hock listen little darkhaired play tennessee flat play couldn ride wrangle care dime guitar time girls ninety snap finger tap toe beg stop hypnotize fascinate little darkhaired play tennessee flat play go vanish like breeze forget little girls dream hang cabaret doors lock parade little darkhaired play tennessee flat play"
"387","mornin arrive stand foot weigh kinda broad shoulder narrow everybody know know call home drift stay kinda quiet speak say somebody say come orleans fight cajun queen crashin blow huge right hand send louisiana fellow promise land come timber crack start cryin miners prayin hearts beat fast everybody think breathe cept dust smoke hell walk giant miners know grab saggin timber give groan like giant tree stand strength give mighty shove miner yell light scramble wouldbe grave leave save jack timbers start come rumble grind smoke belch everybody know line reopen worthless place marble stand word write stand lie"
"388","tire runnin wanna settle sportin life mean life killin letter letter home friends dead go worry wonder days come mother talk young foolish mother sisters brothers talk fall knees pray word mother brownie brownie change ways goin change ways gettin older young foolish easy easy astray gambler cheater come time lose sportin life best hand thing think wrong sportin life friend long say good believe leave"
"389","like lose look home want right arm walk leave memory sympathy turn head understand hurt walk leave memory sympathy walk leave memory sympathy girl"
"390","jones long time forget dear long long time regret long time remember near long time forget people awalkin tonight thinkin arm hold tight memories acomin sight long long time forget long time forget dear long long time regret long time remember near long time forget instrumental know young fellow live street good woman complete understandin sweet take long long time forget take long long time forget dear long long time regret long time remember near long time forget instrumental sayin feel time wait awantin lovin take long long time forget long long time forget dear long long time regret long time remember near long time forget long time forget long time forget"
"391","break play heart stay heart wonderful time tell love catch honky tonkin play lie gonna heart instrumental want want heart gonna happen gonna play heart want think mistake thing tell gonna notta gonna heart instrumental wonderful time tell love catch honky tonkin play lie gonna heart"
"392","season come season little rain snow plan season heart play lead cause flower bloom eternally leave bring autumn sorrow tear like wither leave fall spring bring tomorrow darlin instrumental nature plan season get upper hand fact mind bar cold blow experience know winter come spring close leavin bring autumn sorrow tear like wither leave fall spring come tomorrow darlin"
"393","meet street stop talk walk block walk lovin dark appeal cause money deal know ahead steal real later cause money deal want dear come automobile stay money deal turn say dead spend money call say tell cause money deal mean baby money deal"
"394","fiddle squeekin guitars speakin piano play jellyroll drum dumb bass play soul table quakin nerve shakin beggin havin honky tonk hardwood floor honky tonk hardwood floor honky tonk hardwood floor havin honky tonk hardwood floor waitress handy sell sell soda bartender serve wanna blow money little thing havin honky tonk hardwood floor honky tonk hardwood floor honky tonk hardwood floor havin honky tonk hardwood floor payday saturday break sunday come monday feelin sour black eye pick little little night swear drinkin thinkin bout good time lord havin honky tonk hardwood floor honky tonk hardwood floor honky tonk hardwood floor havin honky tonk hardwood floor"
"395","time look fall time think begin little dream night dream take memory thrill little kiss away pour want fall begin start steal away heart"
"396","morning feel mighty baby say good morning hell evil evil hearted right evil evil cook breakfast bring take coffee throw head evil evil hearted yeah right evil evil care baby leave flat fortyeleven come know evil evil hearted right evil evil deep diver stroke wrong deep diver deep diver deep diver stroke wrong deep diver deep diver scrape wind hold long buy coffee grind best yeah buy coffee grind best grind coffee cause brand friend boil cabbage light boil cabbage light bacon lord overflow good love spread news good love baby spread news cause leave blue"
"397","simple simple heart girlie fair miss timin simple heart think care simple smart give simple simple heart lesson guessen shame shame true know game couldn tell wrong simple simple heart tell simple simple heart better forget like forget simple simple heart go school rhymein simple heart forget golden rule simple smart stubborn like mule simple sort take mistake fool shame shame"
"398","today hurt familiar know nothin wait arm missin heart bein true lips belong keep lovin fiddle solo steel solo try drive heart memory make feel blue heartbeat feel teardrops start wait arm missin heart bein true lips belong keep lovin"
"399","wonder power hold long memory time leave draw line come like fall time time lips kiss time arm hold belong go leave know lonely time nearness make weaken things say wouldn time leave draw line come like fall time time lips kiss"
"400","hurt lifetime mistake spend tomorrow regret past chance cause know till right wrong love sorry touch easy believe tomorrow away gamble tomorrow bring life live today cause know"
"401","tell lie stary eye look admiration paint scheemes lovely dream temptation speak things like wed ring promise world cause fall yesterday girl think smart lure heart girl lips kiss game break hearted list love long love wrong promise world game memory yesterday girl feel real greatest thing life romance give cherish wife cheat promise world yesterday girl autumn fall recall things pause cause greed deep grow cold world relive yesterday girl"
"402","lovin livin smile face sing louder prouder belong human race spritely goin nightly ninetyfive lovin livin great alive livin lovin life things make difference passion rag turn page arrive lovin livin great alive livin give things good true favor later come singin bell ringin blue dive lovin livin great alive kissin missin things nice sweet feature creature life incomplete look yonder hop fonder survive lovin livin great alive"
"403","long marry burden carry fate keep humble true plan break darling leave piece mind dear place live life know folks leave walk lot loose talk unhappy break apart darling true heart leave leave deceive tell loose talk harm truth leave"
"404","hold arm tell charm think heaven gift swear leave late lie goodbye tear eye die leave blue bein vow say live pledge heart give life give late lie"
"405","go walk away step take bring heartaches heart lose someway go walk away hadn cheat hadn lie walk guess show walk away go hadn cheat"
"406","door open wide sound come inside look shadow wall strange sweetheart dear hurt shadow wall kissin like true lovers right know turn walk away break hearted shadow wall tear come eye hurt faithful kiss shadow wall know misery live memory night shadow wall heart fall great true heel wind forever doom haunt shadow wall"
"407","word song like letter send heart message gift pretty speeches sing pretty song sing song tell wait long heart want tell sing pretty song steel guitar darling tell kiss wouldn wrong feel hold sing pretty song sing song"
"408","overlook say know mean past free see real believe lonely gaitest guy look right heart thank life crowd night different start fell hop heart good lord night thank life thousand years faithful give real dream wrong road faithless life make believe thank life house care large small boys girls care short tall overlook past waste life give thank life"
"409","count riches star today place ring hand mother nature smile give heart give marry mansion hilltop wouldn mean thing step inside dear worry think want life marry mansion hilltop"
"410","hello break heart hurtin listen break heart news achin help things tear promise cry look break heart away go come cry promise cry lose break heart wish matter happen"
"411","world away shoulder things world away sorry hurt tell world away world away shoulder things away remember love world take astray forgive world away world away shoulder things world away"
"412","great book warn lay beneath cold death come claim soul time come death come smile true truthfully die breath ready meet death light grow dark shadow creep live ones gather weep face die breath ready meet death death come smile true truthfully die breath ready meet death"
"413","road straight narrow saint travel pave tribulations martyr go grateful vict ries showin thank blessin knees pray thank tree thank mountains seas thank givin life thank world grief sorrow fill selfishness greed remain fountain supply need welcome door sure count blessin thank tree thank mountains seas thank givin life thank forgivin wayward like master tell say forgive father know change livin understand remember brothers need helpin hand"
"414","drift lonely darkness lift eye lord remember remember free blind remember shin free sorrow trouble go home savior remember remember free blind remember talk disciples galilee say remember mortal like ask bless knees remember"
"415","fight fight amarchin hold head high tryin victory fight folks vain lose speak highly cause fight fight hear teeth chatter cold outside bullets open wound young boys begin fall tear eye cause couldn help fight fight raise sabre hand hear cannon roar stand march battle grey cannon smoke clear take days count dead cause fight fight honest hear news fall folks think great vict ball ask band play song believe fight yeah fight fight fight"
"416","today weary today blue break hearted life sweet dear life song go leave belong dear little girl set heart whirl life joy world girl dear little girl set heart whirl life joy world girl"
"417","message mother heart tell saviour save wand ring tear sorrow cause wish repay tell wait meet heaven cry leave know fill heart pain say leave meet message mother heart tell saviour save wand ring years pass part know wait pray soon cross dark river know save"
"418","mansion capture heart say dear lie start want true want gold someday sorry lie tell steal heart cheat someday darling know house cold lonely mansion steal"
"419","gonna sing sing sing gonna hallelujahs ring gonna praise bless saviour gonna sing sing sing world sorrow see trouble know prayers vain gonna sing sing sing weary inside recall die know pain gonna sing sing sing gonna sing sing sing gonna hallelujahs ring gonna praise bless saviour gonna sing sing sing tear blind eye walk meet love ones gonna sing sing sing"
"420","share life down fate kind down guess guess write life story reason line pain cause best thing happen best thing happen lord time time hard moment spend hurt moment spend love write life story reason line pain cause best thing happen best thing happen"
"421","go fishin little cajulina knock hole hole pirogue purtiest sight see moonlight night orleans river bend hole pirogue hold catelina waitin tear eye munchin crunchin crawfish smell feel floatin hole pirogue yeah bayou sittin bust pole home cajulina waitin lonesome hole pirogue"
"422","journey life wicked road selfish silver gold treasure wealth diamonds gold friend save poor wicked soul call home high earthly wealth goodbye useless stray fold friend save poor wicked soul like judge time wealth leave matter earthly wealth hold friend save poor wicked soul friend save poor wicked soul"
"423","refuse refuse turn away tear eye cross die refuse story tell saviour die nail hand cry understand blood flow refuse refuse turn away tear eye cross die refuse hang tree pray pain ease die faintly cry father forgive refuse refuse turn away tear eye cross die refuse"
"424","mready will abig bright moon night baby ready will twinkle baby ready rewilling baby tyou waitin mind hesitatin waste time think grand lover baby ready will like theway smile like spoon awhile baby ready will like kiss like baby ready rewilling baby tyou waitin mind hesitatin waste time think grand lover baby ready will baby tyou waitin mind hesitatin waste time think grand lover baby ready will"
"425","moon light bright make lonely tonight feel blue hearted lonesome cause prove untrue sould lonely take best take leave cloud lonesome lonesome violets blue call roses sweet lonely bring mind sweet time"
"426","lonely darling think long lonesome nights sweetheart wait mind come know maybe baby learn change someday deceive blue sweetheart night"
"427","release anymore live release dear want near lips warm cold release darling love lovely face place release release anymore"
"428","morning writer chesnut morning dawn wake want wishin know forget better longer hold longer go harder go morning dawn wake want desert know hurt thing want try tell feel know go know right thing morning dawn wake want night tell time make time tell goodbye night break morning wake fifth time change mind eye leave foolish morning dawn wake want morning dawn wake want wishin herfade fade"
"429","world lord come earth receive heart prepare room heaven nature sing heaven nature sing heaven nature sing heaven nature sing heaven nature sing world lord come earth receive heart prepare room heaven nature sing heaven nature sing heaven nature sing heaven nature sing heaven nature sing"
"430","deep heart lie song dream live memory beneath star alamo enchantment strange blue moonlit pass know hear break song moon splendor know heart lips sweet tender like petals fall apart speak break song word know live heart moonlit pass alamo fiddle moon splendor"
"431","williams today pass street heart fell feet help somebody stand look satisfy help picture past come slowly steal brush walk close suddenly time feel help instrumental hard know lips kiss hold heaven know miss help"
"432","dance talk live fast forget past prove want turn talk crowd fall heart start build life anew know pay afraid talk crowd"
"433","yesterday say love today away leave world lonely tell break cause want live world lonely try hard heart allow hurt know world lonely goodbye good luck bless know world lonely"
"434","sign seal deliver pack contain heart open remove wrapper tear apart heart leave leave blue send special delivery handle care offer darling know true sign seal deliver postman bring think darling forever good sign seal delievered pack contain heart send token sorry apart"
"435","heart share lips kiss heart understand heart tell heart moon come go heart moon come go heart"
"436","know pop pop push dope live shit kiddies smoke pack sell flip couple buck shut lunch momma wouldn know half half shit tell know school shit barely toking weren bust fuck brother want think want live shit wanna block streets hood momma chopper thing keep safe talk bout chopper pack safe work pretty hard ghetto slammer try break break best leader million nations occupation couldn handle give gift reason season straight believe trouble deal peace help brother sisters niggas ladyfriends straight depend limit live brothers turn haters sisters turn bitch niggas turn killers mind go ballistic fuck terrific bitch sick calm person want listen remember uncle uncle outside court watch tell hood maybe fuck want nigga georgetown days best city nintendo outlet break money like white kid wear jordans like white kid gogo music bang father shit favorite wish guilligen mama fuck know work know hurt alright cause greatest rapper city go hear record tell baby legend stay cheat bitch pay fuck life hate bitch take fuck wife child fuck life welcome pop reason fuck anger gotta pray cause wish fuck danger"
"437","swing sweet come home swing sweet come home look come home band angels come come home come home tell come come home"
"438","night lose scumgang fuck waste midsummer madness fuck ruuuules ruuuules ruuuuoh fuck ruuuules ruuuules ruuuuoh sense sense hide heart black tint bullshit tablets savage blurry nights feel heart hate vacancy gonna blame look eye sober feelin run check help cope want live moment want fight cause lonely tryna rockstar crash truck need night lose fuck waste midsummer madness fuck ruuuules ruuuules ruuuuoh fuck ruuuules ruuuules ruuuuoh minute hear wanna stay friends learn mistake want learn problem risk wanna go wanna look listen smile fuck think gotta talk hotter summer stay slow jam wanna move like toss turn playin care burn treat good like waitin turn universe feel better tongue bout home know finna come play game like pimp strip conversations late night gonna live answer finna fuck ruuuules gang gang ruuuules gang gang ruuuuoh yeah 當光灑進了 white porsche felt good knowknow ohoh 播放列表歌很夠 你點頭我心裡會滿足 博物館給了更多感悟 在天文台半山道漫步 拼la夜景的版圖 fuck rule 距離不是問題 know lookin pretty want kiss 把beautiful memories 存入我的iphone 有藍月亮陪 想要擁抱 你在我需要前給 go care babe rule rule rule rule rule rule"
"439","time think sing refrain hearts beat time change time pass forget mother nature wonderful things guess true time change change song rearrange swing think stop love time change goodbye goodluck bless cause time change"
"440","nothin better watchin smile woah woah nothin better watchin laugh loud baby nothin better watchin nothin better right right eye secrets wanna miss hand hand fist grab shirt curl know star eye say know know know know want need hate moment away sleepin dream know mother arm know safe harm know come home real soon bring nothin better watchin smile woah woah nothin better watchin laugh loud baby nothin better watchin nothin better right right away pain know hurt leave know cry hearts pump black blue feel million years pass lose time know know know know understand go come home open eye brand nothin better watchin smile woah woah nothin better watchin laugh loud baby nothin better watchin nothin better right right moment truth moment youth moment truth moment youth cause time go fast life slow cause time go fast life slow nothin better watchin smile woah woah nothin better watchin laugh loud baby nothin better watchin nothin better right right nothin better watchin smile woah woah nothin better watchin laugh loud baby nothin better watchin nothin better right right"
"441","like kiss mornin kiss night mess hug cause lovin livin livin till learn lovin mean baby doubt true lovin livin sure livin fallin folks movies work movies stealin kiss balcony askin baby hopin prayin soon sayin lovin livin like tease tickle time start gold fade nickel kiss come baby open heart askin baby hopin prayin soon sayin lovin livin"
"442","room room room heart room room room fool like sweetheart open heart room wrong walk forgive fool things sorry hurt know room room room room room room"
"443","live house build arm hold charm sweetest girl hand plan house build heart break house tumblin roof moonlight kiss warm sweet beam dream lay feet wall smile kiss destroy house build arm lose charm sweetest girl hand plan house build heart break house tumblin roof moonlight kiss warm sweet beam dream lay feet start build strong stand test time"
"444","send bouquet roses time break heart door close tear fall like pedal beg different untrue tire forgive leave send bouquet roses time break heart lovers road sorrow goodbye leave face tomorrow heart tought know hate bitter send bouquet roses time break heart"
"445","money moon soandso cause wheel ship papa ball listen little papa downfall cause wheel ship like lovin like gold want lovin cause dough wheel ship tell time tell want mama gotta cause wheel ship"
"446","forget memories forget love carefree happen go away forget tell memories haunt darlin forget love forget memories forget love forget tell memories haunt darlin forget love"
"447","come leave till heart desire till tell frighten silent religion science alliance lose dream stand attention science religion eye perfect cold defiance see look poor water haul stone iron mortar dream leave frighten silent religion science alliance lose dream stand attention science religion eye perfect cold defiance see look"
"448","brag meet sing praise crowd deep inside heart important good loud deepin arm feel know deserve tenderness word good loud loud come easy loud hard deep inside heart sing recite poetry read silence cause doubt good loud real good talkers hear sure know silent good loud loud come easy loud hard deep inside heart sing recite poetry read silence cause doubt good good good loud loud loud loud"
"449","morning heart pain look window pour rain baby baby leave miss love kiss earth wouldn baby baby leave rain start fall start call baby heart cry feel like die baby know want tell till time baby baby leave leave rain start fall start call baby heart cry feel like die"
"450","feel fingerprint leave heart play game say leave teardrops start feel fingerprint sorrow heart know mean unkind hurt mind think ought know think dream think things think dream think things"
"451","close watch heart eye wide open time end bind walk line easy true admit fool walk line sure night dark light mind night happiness know prove right walk line cause hide know turn tide walk line close watch heart eye wide open time end bind walk line"
"452","cigarettes ashtray small cafe stranger come go wrong cigarettes ashtray watch longer go watch cigarette burn away watch longer go watch cigarette burn away"
"453","return dear lonely hurry hurry hurry return heart want hurry home hurry home hurry home heart darling hurt sorry forgive return come hurry hurry home arm lips heart retorna solo solo solo solo cuore"
"454","pile ball chain number lord lord time time ache heart hear hammer hear gonna swing like long lord lord time time ache heart judge look say penitentiary lord lord time time ache heart long days gonna stay lord lord wait time"
"455","give order say time time turn say black greasy fireman shovel little coal cross white mountain watch roll telegram come station read say brave engineer lie danville dead go grade make hour whistle break scream wreck hand throttle scald death steam pretty ladies better warn time learn speak hard word true lover husband leave return"
"456","young need wild free time say prayer say prayer ring hand vow time forget remember time forget remember remember wed bell ring remember count days till spring know couldn regret forget cause remember regret forget cause remember believe promise break apart time break break heart bless time forget remember time forget remember remember wed bell ring"
"457","baby needin needin drop line sayin write care blue missin missin shouldn write care blue postman letter know bring letter plane bring baby needin needin drop line sayin write care blue postman letter know bring letter plane bring baby needin needin drop line sayin write care blue write care blue"
"458","rid number head south hear lonesome whistle blow trouble roam leave leave home hear lonesome whistle blow act smart go break darling heart guess young know take main lock ball chain hear lonesome whistle blow shame number hear lonesome whistle blow even train go hear lonesome whistle blow lock cell till body hair turn whiter snow time hear lonesome whistle blow"
"459","darling hunger touch long lonely time time go slowly time need need godspeed lonely rivers flow arm wait arm lonely rivers come home"
"460","everytime passin hang head forget hang head golden golden go precious moment linger weary heart keep askin hang head everytime passin hang head forget hang head foolish pride pride lose weary heart keep askin hang head"
"461","jenkins know earth know start know pin needle heart days nights growin longer say know forget pin needle heart instrumental face smile heaven work smile pin needle heart someday teardrops start know long wait pin needle heart"
"462","understand dear single thing lend help hand dear matter world know doubt cause instrumental heart lighter time walk future brighter door happiness open wide matter style season know heart true thousand reason"
"463","letter dear sweetheart darling miss letter cheer lonesome lonesome feel love touch letter arm dear hold kiss paper cold sweet things write letter wanna dear tell letter bring touch hand sweet love charm lonesome darling know letter arm instrumental letter arm dear hold kiss paper cold sweet things write letter wanna dear tell letter bring touch hand sweet love charm lonesome darling know letter arm"
"464","blue tell trouble remember love world turn true friend remember love kinds weather change shadow right wrong remember love instrumental kinds weather change shadow right wrong remember love"
"465","mann burn sweethearts long share memory build ship dream plan guess give message wind home hop hear think come home darling know ache heart distress sail ship dream drift ocean blue sail ship sail tear start sink blame instrumental like ship lose sail dark cloud hide break dream heart fail deep inside true sail ship dream drift ocean blue sail ship sail tear start sink blame"
"466","things change recall gingham dress wear lovely night try forget late worry anymore simple vow tender smile longer late worry anymore tear dim eye pass away memories go leave late worry anymore wander kind heart search forget ache heart late worry anymore"
"467","want lonely want darlin know dream turn time turn want lonely want lonely sayin forget come fool darlin break heart crime want lonely dear want time"
"468","remain rain lovely promise come true lips insist kiss know flame grow glow open door need know touch mean dear good song word belong dream dream good"
